game_id,season,game_date,home_team,away_team,matchup,home_spread,total_line,home_margin,total_points,home_win,home_covered,over_hit,model_win_prob,model_pred_margin,vegas_win_prob,vegas_pred_margin,model_win_correct,vegas_win_correct,model_ats_pick,model_ats_win,unit_profit,abs_err_model,abs_err_vegas,favorite_side,spread_bucket,season_stage,b2b_status
22400210,2024-25,2024-11-10,POR,MEM,MEM @ POR,1.5,226.5,-45,223,0,0,0,0.3916,-8.82,0.4588,-1.5,1,1,Away,1,0.9091,36.18,43.5,Away favored,Pick'em (0-3),Early,Neither/Both
22400212,2024-25,2024-11-11,CHI,CLE,CLE @ CHI,8.5,237.5,-6,232,0,1,0,0.3689,-1.31,0.2788,-8.5,1,1,Home,1,0.9091,4.69,2.5,Away favored,Mid (7-11),Early,Neither/Both
22400214,2024-25,2024-11-11,NOP,BKN,BKN @ NOP,1.5,209.5,-2,212,0,0,1,0.564,-0.02,0.4588,-1.5,0,1,Home,0,-1.0,1.98,0.5,Away favored,Pick'em (0-3),Early,Neither/Both
22400215,2024-25,2024-11-11,OKC,LAC,LAC @ OKC,-6.5,218.5,6,262,1,0,1,0.7304,7.82,0.6731,6.5,1,1,Home,0,-1.0,1.82,0.5,Home favored,Small (3-7),Early,Home on B2B
22400216,2024-25,2024-11-11,SAS,SAC,SAC @ SAS,3.5,222.5,20,212,1,1,0,0.4029,-2.69,0.4046,-3.5,0,0,Home,1,0.9091,22.69,23.5,Away favored,Small (3-7),Early,Away on B2B
22400001,2024-25,2024-11-12,BOS,ATL,ATL @ BOS,-15.5,225.5,-1,233,0,0,1,0.8213,8.77,0.8575,15.5,0,0,Away,1,0.9091,9.77,16.5,Home favored,Big (11+),Early,Neither/Both
22400003,2024-25,2024-11-12,ORL,CHA,CHA @ ORL,-8.5,212.5,25,203,1,1,0,0.7302,7.71,0.7212,8.5,1,1,Away,0,-1.0,17.29,16.5,Home favored,Mid (7-11),Early,Neither/Both
22400005,2024-25,2024-11-12,MIL,TOR,TOR @ MIL,-8.5,225.5,14,184,1,1,0,0.6961,7.32,0.7212,8.5,1,1,Away,0,-1.0,6.68,5.5,Home favored,Mid (7-11),Early,Neither/Both
22400007,2024-25,2024-11-12,GSW,DAL,DAL @ GSW,-2.5,235.5,3,237,1,1,1,0.6922,4.95,0.5685,2.5,1,1,Home,1,0.9091,1.95,0.5,Home favored,Pick'em (0-3),Early,Neither/Both
22400008,2024-25,2024-11-12,POR,MIN,MIN @ POR,8.5,220.5,14,230,1,1,1,0.2426,-9.29,0.2788,-8.5,0,0,Away,0,-1.0,23.29,22.5,Away favored,Mid (7-11),Early,Neither/Both
22400217,2024-25,2024-11-13,ORL,IND,IND @ ORL,-1.5,224.5,4,184,1,1,0,0.5414,0.12,0.5412,1.5,1,1,Away,0,-1.0,3.88,2.5,Home favored,Pick'em (0-3),Early,Home on B2B
22400218,2024-25,2024-11-13,BKN,BOS,BOS @ BKN,9.5,217.5,-25,253,0,0,1,0.3308,-3.66,0.2561,-9.5,1,1,Home,0,-1.0,21.34,15.5,Away favored,Mid (7-11),Early,Away on B2B
22400219,2024-25,2024-11-13,NYK,CHI,CHI @ NYK,-8.5,232.5,-1,247,0,0,1,0.7117,5.86,0.7212,8.5,0,0,Away,1,0.9091,6.86,9.5,Home favored,Mid (7-11),Early,Home on B2B
22400220,2024-25,2024-11-13,PHI,CLE,CLE @ PHI,11.5,218.5,-8,220,0,1,1,0.3436,-5.14,0.2138,-11.5,1,1,Home,1,0.9091,2.86,3.5,Away favored,Big (11+),Early,Home on B2B
22400221,2024-25,2024-11-13,OKC,NOP,NOP @ OKC,-14.5,225.5,18,194,1,1,0,0.8196,10.09,0.8414,14.5,1,1,Away,0,-1.0,7.91,3.5,Home favored,Big (11+),Early,Neither/Both
22400222,2024-25,2024-11-13,HOU,LAC,LAC @ HOU,-4.5,214.5,8,214,1,1,0,0.5505,2.5,0.6219,4.5,1,1,Away,0,-1.0,5.5,3.5,Home favored,Small (3-7),Early,Neither/Both
22400223,2024-25,2024-11-13,MIL,DET,DET @ MIL,-7.5,212.5,7,247,1,0,1,0.7266,10.86,0.6975,7.5,1,1,Home,0,-1.0,3.86,0.5,Home favored,Mid (7-11),Early,Neither/Both
22400225,2024-25,2024-11-13,LAL,MEM,MEM @ LAL,-7.5,233.5,5,251,1,0,1,0.6143,1.41,0.6975,7.5,1,1,Away,1,0.9091,3.59,2.5,Home favored,Mid (7-11),Early,Neither/Both
22400226,2024-25,2024-11-13,POR,MIN,MIN @ POR,10.5,220.5,8,204,1,1,0,0.2641,-7.16,0.2344,-10.5,0,0,Home,1,0.9091,15.16,18.5,Away favored,Mid (7-11),Early,Neither/Both
22400227,2024-25,2024-11-13,SAC,PHX,PHX @ SAC,-8.5,226.5,23,231,1,1,1,0.5087,5.2,0.7212,8.5,1,1,Away,0,-1.0,17.8,14.5,Home favored,Mid (7-11),Early,Away on B2B
22400228,2024-25,2024-11-14,UTA,DAL,DAL @ UTA,7.5,230.5,2,228,1,1,0,0.2517,-11.1,0.3025,-7.5,0,0,Away,0,-1.0,13.1,9.5,Away favored,Mid (7-11),Early,Neither/Both
22400009,2024-25,2024-11-15,IND,MIA,MIA @ IND,-4.5,228.5,-13,235,0,0,1,0.5736,2.59,0.6219,4.5,0,0,Away,1,0.9091,15.59,17.5,Home favored,Small (3-7),Early,Neither/Both
22400010,2024-25,2024-11-15,ORL,PHI,PHI @ ORL,-2.5,208.5,12,184,1,1,0,0.6781,7.12,0.5685,2.5,1,1,Home,1,0.9091,4.88,9.5,Home favored,Pick'em (0-3),Early,Neither/Both
22400011,2024-25,2024-11-15,TOR,DET,DET @ TOR,2.5,225.5,-4,194,0,0,0,0.5752,1.14,0.4315,-2.5,0,1,Home,0,-1.0,5.14,1.5,Away favored,Pick'em (0-3),Early,Neither/Both
22400012,2024-25,2024-11-15,ATL,WAS,WAS @ ATL,-9.5,241.5,12,246,1,1,1,0.7208,6.01,0.7439,9.5,1,1,Away,0,-1.0,5.99,2.5,Home favored,Mid (7-11),Early,Neither/Both
22400013,2024-25,2024-11-15,CLE,CHI,CHI @ CLE,-9.5,238.5,18,270,1,1,1,0.7367,6.83,0.7439,9.5,1,1,Away,0,-1.0,11.17,8.5,Home favored,Mid (7-11),Early,Neither/Both
22400014,2024-25,2024-11-15,NYK,BKN,BKN @ NYK,-8.5,214.5,2,246,1,0,1,0.758,6.26,0.7212,8.5,1,1,Away,1,0.9091,4.26,6.5,Home favored,Mid (7-11),Early,Neither/Both
22400015,2024-25,2024-11-15,SAS,LAL,LAL @ SAS,2.5,228.5,-5,235,0,0,1,0.4191,-0.85,0.4315,-2.5,1,1,Home,0,-1.0,4.15,2.5,Away favored,Pick'em (0-3),Early,Neither/Both
22400016,2024-25,2024-11-15,HOU,LAC,LAC @ HOU,-4.5,215.5,21,229,1,1,1,0.5522,2.91,0.6219,4.5,1,1,Away,0,-1.0,18.09,16.5,Home favored,Small (3-7),Early,Neither/Both
22400017,2024-25,2024-11-15,NOP,DEN,DEN @ NOP,2.5,217.5,7,195,1,1,0,0.2929,-1.5,0.4315,-2.5,0,0,Home,1,0.9091,8.5,9.5,Away favored,Pick'em (0-3),Early,Neither/Both
22400018,2024-25,2024-11-15,OKC,PHX,PHX @ OKC,-7.5,228.5,16,182,1,1,0,0.7195,8.2,0.6975,7.5,1,1,Home,1,0.9091,7.8,8.5,Home favored,Mid (7-11),Early,Neither/Both
22400019,2024-25,2024-11-15,GSW,MEM,MEM @ GSW,-6.5,236.5,5,241,1,0,1,0.743,2.38,0.6731,6.5,1,1,Away,1,0.9091,2.62,1.5,Home favored,Small (3-7),Early,Neither/Both
22400020,2024-25,2024-11-15,SAC,MIN,MIN @ SAC,1.5,221.5,-4,256,0,0,1,0.5484,1.64,0.4588,-1.5,0,1,Home,0,-1.0,5.64,2.5,Away favored,Pick'em (0-3),Early,Neither/Both
22400229,2024-25,2024-11-16,CHA,MIL,MIL @ CHA,3.5,220.5,1,229,1,1,1,0.4138,-4.36,0.4046,-3.5,0,0,Away,0,-1.0,5.36,4.5,Away favored,Small (3-7),Early,Neither/Both
